ID,Title,Journal,journal_image,docs_catalog,references_catalog,Link,Date published,Abstract,research_projects
11,"Les données essentielles, une mine à exploiter",La Gazette des communes,/images/journal/gazette.png,ouverture-commande-publique,,https://www.lagazettedescommunes.com/721828/les-donnees-essentielles-une-mine-a-exploiter/,2021-02-15,"Entrée en vigueur le 1er octobre 2018, l'obligation de publication des données essentielles de la commande publique a été allégée dès le 1er janvier 2020, date à laquelle les seuils ...",
12,Ces start-up qui réenchantent le télétravail avec des bureaux virtuels,Les Echos,/images/journal/echos.png,,,"https://www.lesechos.fr/tech-medias/hightech/ces-start-up-qui-reenchantent-le-teletravail-avec-des-bureaux-virtuels-1285195#:~:text=La%20start%2Dup%20TeamFlow%20a,bureaux%20virtuels%20beaucoup%20plus%20ludiques.",2021-01-29,"Au rythme où vont les choses, certains salariés vont finir par oublier l'adresse de leur bureau. Car cela fera bientôt un an que le télétravail est devenu la norme. Une ...",
13,Le devoir de vigilance en mal de transparence,Le Monde,/images/journal/lemonde.png,,,https://www.lemonde.fr/economie/article/2020/06/29/la-loi-de-vigilance-des-entreprises-manque-de-transparence_6044501_3234.html,2020-06-30,"Unique au monde et pétrie de nobles intentions, la loi du 27 mars 2017 confie aux grandes entreprises installées en France de grandes responsabilités. Elles doivent s'assurer de l'absence ...",
14,Société civile et administrations unies 48 heures durant pour concevoir des solutions à la crise,Acteurs Publics,/images/journal/acteurspublics.png,"check-list-hackathon,organiser-sprint-data",hackathon-ditp,https://acteurspublics.fr/articles/societe-civile-et-administrations-unies-48-heures-durant-pour-concevoir-des-solutions-a-la-crise,2021-04-22,"48 heures pour imaginer et prototyper des outils au service de la lutte contre le Covid-19. C'est l'objectif affiché par le ""hackathon Covid"", un événement qui se déroulera ...",
15,Un hackathon pour débusquer la face cachée des algorithmes,Sud Ouest - Bordeaux Agglo,/images/journal/sudouest.png,"check-list-hackathon,organiser-sprint-data",,"https://www.sudouest.fr/etudiant/etudes-superieures/bordeaux-un-hackathon-pour-debusquer-la-face-cachee-des-algorithmes-17654245.php#:~:text=Le%20principe%20de%20cet%20hackathon,%C3%A0%20la%20place%20du%20consommateur.",2023-01-12,"Hier, à l’Institut de journalisme de Bordeaux (IJBA), huit groupes d'étudiants participaient à un concours d'enquêtes sur les algorithmes. Le principe de cet hackathon, parrainé par Datactivist, consistait ...",
16,"Coupures d'électricité : lieux touchés, télécoms, transports... 30 questions pour tout comprendre",Le Parisien,/images/journal/leparisien.png,,france-data-reseau-fnccr,https://www.leparisien.fr/economie/risque-de-coupures-delectricite-lieux-touches-telecoms-transports-nos-reponses-a-vos-questions-02-12-2022-5SVI6D4GSBB3ZOZGJM37YQD22M.php,2022-03-12,"C'est une solution de dernier recours : couper l'électricité jusque dans les foyers pour faire baisser la pression sur le réseau d'électricité. Le gouvernement, qui avait déjà annoncé vouloir ...",
17,"Soutenir le numérique social et solidaire, le trou dans la raquette qu'il faut combler avant 2030",Carenews,/images/journal/carenews.png,,,https://www.carenews.com/social-good-accelerator/news/soutenir-le-numerique-social-et-solidaire-le-trou-dans-la-raquette-qu,2022-11-29,Raison numéro 1 : parce que la transition numérique des organisations de l’économie sociale et solidaire - au premier rang desquels les associations - est un impensé politique Dans le cadre du plan ...,
18,France Data Réseau teste le partage de données entre régies,La Gazette des communes,/images/journal/gazette.png,,france-data-reseau-fnccr,https://www.lagazettedescommunes.com/792534/france-data-reseau-teste-le-partage-de-donnees-entre-regies/,2022-02-25,"""On ne partage pas pour le plaisir de partager, il s'agit de répondre à un besoin et d'atteindre des objectifs"", explique Loïc Haÿ, chargé de mission usages numériques et ...",
19,Culture de la donnée : zoom sur deux projets territoriaux,La Gazette des communes,/images/journal/gazette.png,culture-generale-donnees,,https://www.lagazettedescommunes.com/804004/culture-de-la-donnee-zoom-sur-deux-projets-territoriaux/,2022-04-28,"Comment mettre en place un projet ou une expérimentation liés à la donnée dans une collectivité ? A l'occasion de son dernier événement (voir encadré), le Fing Data Day, qui s ...",
20,"Quel modèle pour les ""territoires intelligents"" français ?",La Gazette des communes,/images/journal/gazette.png,"standards-territoires,carto-ensembles-data-territoires",,https://www.lagazettedescommunes.com/771291/quel-modele-pour-les-territoires-intelligents-francais/,2021-10-26,"Quels sont les contours de la ""smart city"" française et quelle est sa réalité ? Le consortium Data Publica, accompagné du cabinet KPMG s'est penché sur la question pendant huit mois ...",
